config	rps	baseline(avg)	MorphX(avg)	stream(avg)	chunked(avg)	baseline(p99)	MorphX(p99)	stream(p99)	chunked(p99)	baseline(ttft_avg)	MorphX(ttft_avg)	stream(ttft_avg)	chunked(ttft_avg)	baseline(ttft_p99)	MorphX(ttft_p99)	stream(ttft_p99)	chunked(ttft_p99)	vs_baseline_avg(%)	vs_baseline_p99(%)	vs_stream_avg(%)	vs_stream_p99(%)	vs_chunked_avg(%)	vs_chunked_p99(%)
in-2048-out-256-rps-1	1.000	0.023	0.024	0.022	0.022	0.029	0.028	0.027	0.028	0.180	0.294	0.221	0.190	0.186	0.565	0.405	0.197	-5.064	3.703	-7.338	-2.068	-5.928	1.136
in-2048-out-256-rps-1.5	1.500	0.027	0.027	0.027	0.027	0.036	0.033	0.036	0.035	0.180	0.313	0.226	0.191	0.186	0.672	0.439	0.199	0.491	8.728	0.667	8.979	-0.325	7.403
in-2048-out-256-rps-2	2.000	0.033	0.031	0.031	0.033	0.046	0.038	0.041	0.045	0.180	0.349	0.234	0.193	0.187	0.816	0.517	0.201	8.104	18.099	0.805	6.923	6.042	15.464
in-2048-out-256-rps-2.5	2.500	0.047	0.038	0.041	0.045	0.069	0.049	0.057	0.065	0.180	0.430	0.257	0.197	0.186	1.065	0.594	0.206	19.272	28.214	7.567	13.267	15.703	23.970
in-2048-out-256-rps-3	3.000	0.073	0.049	0.054	0.065	0.105	0.066	0.075	0.089	0.282	0.534	0.295	0.234	3.003	1.524	0.728	1.292	33.098	37.018	10.789	11.339	25.097	25.482
in-4096-out-128-rps-0.4	0.400	0.023	0.025	0.023	0.023	0.033	0.034	0.032	0.035	0.374	0.562	0.418	0.381	0.509	1.227	0.895	0.518	-9.848	-5.082	-8.442	-7.931	-8.315	1.385
in-4096-out-128-rps-0.8	0.800	0.029	0.031	0.031	0.031	0.049	0.042	0.049	0.050	0.364	0.620	0.428	0.375	0.436	1.368	0.798	0.435	-7.235	14.082	-0.990	14.021	-1.322	16.004
in-4096-out-128-rps-1.2	1.200	0.039	0.039	0.038	0.041	0.078	0.063	0.074	0.078	0.364	0.752	0.445	0.377	0.381	1.811	0.988	0.389	-0.675	19.665	-3.235	15.572	2.727	19.451
in-4096-out-128-rps-1.6	1.600	0.063	0.047	0.076	0.052	0.124	0.071	0.237	0.087	0.366	1.101	0.877	0.379	0.377	3.388	5.065	0.389	25.296	42.659	38.630	70.121	10.404	18.933
in-4096-out-128-rps-2	2.000	0.092	0.062	0.077	0.086	0.145	0.098	0.134	0.142	0.521	2.212	0.693	0.471	3.129	6.025	2.171	2.505	32.256	32.840	19.517	27.101	28.008	31.385
in-4096-out-256-rps-0.4	0.400	0.025	0.025	0.023	0.022	0.033	0.034	0.030	0.029	0.373	0.585	0.409	0.376	0.550	1.228	0.788	0.429	-0.018	-4.887	-9.975	-12.646	-12.898	-16.897
in-4096-out-256-rps-0.8	0.800	0.031	0.030	0.031	0.030	0.050	0.040	0.047	0.045	0.365	0.655	0.435	0.378	0.412	1.379	0.814	0.401	3.307	21.384	3.815	16.322	-0.779	12.738
in-4096-out-256-rps-1.2	1.200	0.047	0.041	0.045	0.044	0.071	0.056	0.064	0.064	0.364	0.767	0.456	0.381	0.373	1.838	0.982	0.400	11.928	21.489	9.705	13.290	6.607	13.381
in-4096-out-256-rps-1.6	1.600	0.081	0.062	0.063	0.069	0.100	0.082	0.085	0.089	0.802	1.130	0.617	0.605	3.886	3.548	2.801	3.967	23.490	18.321	2.191	3.019	9.439	8.346
in-4096-out-256-rps-2	2.000	0.122	0.082	0.110	0.120	0.176	0.108	0.149	0.168	8.929	2.750	6.434	8.171	21.514	7.389	15.249	19.406	32.459	38.785	25.557	27.414	31.573	35.604
