sm-16	lat-16	lat-16-ms	sm-128	lat-128	lat-128-ms	sm-512	lat-512	lat-512-ms	sm-8192	lat-8192	lat-8192-ms	sm-ggnn	lat-ggnn	lat-ggnn-ms
108	2759.152000	2.759152000	108	2814.990000	2.814990000	108	1435.851000	1.435851000	108	1657.548000	1.657548000	108	113.580000	0.113580000
72	1832.056000	1.832056000	72	1857.955000	1.857955000	96	1324.518000	1.324518000	96	1864.548000	1.864548000	96	100.986000	0.100986000
36	1448.394000	1.448394000	36	1574.379000	1.574379000	84	1226.152000	1.226152000	84	2048.867000	2.048867000	84	101.604000	0.101604000
4	848.428000	0.848428000	4	1563.376000	1.563376000	72	1106.056000	1.106056000	72	1850.582000	1.850582000	72	101.445000	0.101445000
						60	1003.211000	1.003211000	60	1606.963000	1.606963000	60	104.701000	0.104701000
						48	947.599000	0.947599000	48	1584.005000	1.584005000	48	107.272000	0.107272000
						36	906.600000	0.906600000	36	1568.568000	1.568568000	36	109.637000	0.109637000
						24	915.999000	0.915999000	24	1568.738000	1.568738000	24	110.166000	0.110166000
						12	919.440000	0.919440000	12	1568.729000	1.568729000	12	100.898000	0.100898000
						8	947.913000	0.947913000	4	1573.849000	1.573849000			
